frase,situacao
sinto dor no peito e falta de ar,alto risco
aperto no tórax ao subir escada e suando frio,alto risco
falta de ar em repouso e dor irradiando para o braço,alto risco
"pressão no peito e náuseas, começou hoje cedo",alto risco
palpitações rápidas e dor no centro do peito,alto risco
dor no peito que irradia para mandíbula e ombro,alto risco
"aperto no peito ao esforço, com suor frio",alto risco
falta de ar intensa durante o repouso noturno,alto risco
pressão torácica súbita acompanhada de tontura,alto risco
dor precordial persistente que não melhora com repouso,alto risco
dor no peito em aperto e sensação de morte iminente,alto risco
desconforto intenso no centro do tórax ao caminhar,alto risco
peso no peito e formigamento no braço esquerdo,alto risco
queimação no peito com falta de ar ao menor esforço,alto risco
falta de ar e dor no tórax após pequeno esforço,alto risco
dor no peito em aperto irradiando para costas,alto risco
opressão torácica com sudorese fria e náusea,alto risco
falta de ar mesmo sentado e palpitações,alto risco
pressão no tórax e vômitos desde a manhã,alto risco
dor forte no peito com irradiação para braço e pescoço,alto risco
aperto torácico que piora ao subir escadas,alto risco
falta de ar súbita e dor no centro do peito,alto risco
dor torácica intensa que não passa com repouso,alto risco
pressão torácica com suor frio e tontura,alto risco
dor no peito acompanhada de náusea e palidez,alto risco
tive um leve incômodo nas costas,baixo risco
"um desconforto leve depois do treino, passou com repouso",baixo risco
"pequena tontura ao levantar, sem dor",baixo risco
cansaço leve ao final do dia,baixo risco
leve dor muscular no ombro após esforço,baixo risco
leve dor de cabeça após longas horas de trabalho,baixo risco
"incômodo leve no pescoço, melhora com alongamento",baixo risco
desconforto no joelho após corrida prolongada,baixo risco
leve dor lombar que alivia ao deitar,baixo risco
câimbra na panturrilha depois do exercício,baixo risco
leve azia após refeição pesada,baixo risco
"espirros ocasionais por poeira, sem falta de ar",baixo risco
"nariz entupido leve, sem febre",baixo risco
"tosse seca leve há dois dias, sem dor no peito",baixo risco
leve dor no punho ao digitar muito tempo,baixo risco
sensação de fadiga leve no fim da tarde,baixo risco
ardor leve no estômago que melhora com água,baixo risco
coceira leve na pele sem inchaço,baixo risco
olhos cansados após muitas horas na tela,baixo risco
roquidão leve depois de falar por muito tempo,baixo risco
incômodo leve no tornozelo após caminhada longa,baixo risco
leve dor no pescoço ao virar a cabeça,baixo risco
desconforto leve no quadril depois da academia,baixo risco
cólica leve que melhora com repouso,baixo risco
pequena dor no dedo por pancada leve,baixo risco
